amount,payment_method,failure_category,attempt_number,previous_success_rate,previous_failures,customer_tenure_days,subscription,recovered
2721,credit_card,HARD_DECLINE,2,0.677,17,208,0,1
4754,credit_card,TRANSIENT,2,0.561,22,1360,0,0
5872,credit_card,SOFT_DECLINE,1,0.423,8,348,1,0
99,debit_card,TRANSIENT,1,0.344,8,1682,1,1
4832,net_banking,TRANSIENT,2,0.885,11,1212,1,1
3989,upi,HARD_DECLINE,3,0.855,3,808,1,0
3495,debit_card,SOFT_DECLINE,3,0.648,19,1330,1,0
4906,debit_card,TRANSIENT,3,0.64,17,479,0,0
5132,credit_card,HARD_DECLINE,1,0.211,18,1824,0,0
3436,net_banking,SOFT_DECLINE,2,0.143,4,535,0,0
948,debit_card,HARD_DECLINE,3,0.138,15,216,0,0
1812,credit_card,TRANSIENT,2,0.596,12,811,0,0
6531,upi,SOFT_DECLINE,1,0.885,24,576,0,1
1663,credit_card,SOFT_DECLINE,1,0.722,23,569,0,0
387,credit_card,SOFT_DECLINE,1,0.199,11,1591,1,0
400,net_banking,UNKNOWN,1,0.489,3,1932,0,0
3185,credit_card,CUSTOMER_ACTION_REQUIRED,1,0.732,2,1587,0,1
6230,net_banking,HARD_DECLINE,1,0.528,19,896,0,0
2417,upi,HARD_DECLINE,2,0.373,16,954,1,0
545,upi,SOFT_DECLINE,1,0.22,2,1479,0,1
4663,net_banking,CUSTOMER_ACTION_REQUIRED,2,0.214,4,1511,0,0
3793,upi,SOFT_DECLINE,2,0.19,3,1379,0,0
333,upi,SOFT_DECLINE,1,0.403,10,1669,0,1
3380,debit_card,TRANSIENT,1,0.279,7,1820,0,1
12036,upi,CUSTOMER_ACTION_REQUIRED,2,0.969,24,1768,1,0
5973,net_banking,SOFT_DECLINE,3,0.165,0,829,1,0
10912,debit_card,SOFT_DECLINE,1,0.718,4,418,1,0
825,debit_card,HARD_DECLINE,2,0.057,18,1006,0,0
4404,wallet,TRANSIENT,1,0.675,7,856,1,0
3773,upi,TRANSIENT,2,0.419,18,1187,0,0
3178,upi,TRANSIENT,2,0.3,10,1932,0,1
5503,wallet,SOFT_DECLINE,3,0.073,6,1066,1,0
2000,net_banking,CUSTOMER_ACTION_REQUIRED,2,0.704,19,1682,0,1
4070,credit_card,CUSTOMER_ACTION_REQUIRED,2,0.939,4,571,1,1
143,credit_card,HARD_DECLINE,1,0.634,8,1065,0,0
566,credit_card,CUSTOMER_ACTION_REQUIRED,1,0.277,0,713,0,0
496,upi,SOFT_DECLINE,1,0.075,22,1881,1,1
2157,upi,SOFT_DECLINE,1,0.042,11,1871,0,0
1465,debit_card,TRANSIENT,1,0.56,13,1301,0,0
374,credit_card,TRANSIENT,2,0.177,13,80,1,0
1034,debit_card,HARD_DECLINE,1,0.159,22,251,0,1
569,credit_card,SOFT_DECLINE,3,0.35,25,1814,1,1
7296,debit_card,TRANSIENT,1,0.641,12,1421,0,1
1913,credit_card,UNKNOWN,3,0.179,8,108,1,0
649,debit_card,HARD_DECLINE,1,0.577,8,120,0,1
1148,debit_card,UNKNOWN,2,0.742,21,433,0,1
1103,debit_card,HARD_DECLINE,2,0.3,9,1395,0,0
7466,credit_card,SOFT_DECLINE,1,0.94,21,1562,0,0
5055,debit_card,SOFT_DECLINE,1,0.58,20,689,0,0
3005,debit_card,TRANSIENT,3,0.796,5,1379,1,0
4737,debit_card,HARD_DECLINE,2,0.225,6,331,1,0
790,net_banking,SOFT_DECLINE,1,0.414,20,1208,1,0
2853,credit_card,SOFT_DECLINE,2,0.77,3,1624,0,1
2780,debit_card,UNKNOWN,1,0.249,3,964,1,0
1278,upi,SOFT_DECLINE,1,0.815,16,903,0,0
6825,upi,CUSTOMER_ACTION_REQUIRED,1,0.259,7,1750,0,0
2845,upi,SOFT_DECLINE,1,0.272,10,1858,0,1
3992,upi,TRANSIENT,2,0.064,13,707,0,0
5736,debit_card,TRANSIENT,2,0.857,24,1209,0,1
1135,upi,SOFT_DECLINE,2,0.953,13,1132,0,0
3510,credit_card,HARD_DECLINE,1,0.336,21,1664,0,0
5625,credit_card,SOFT_DECLINE,2,0.027,12,1242,0,1
2220,credit_card,HARD_DECLINE,1,0.212,10,721,0,0
